"","Date","Precip.MM","MonthNumber","Month","Year","Season"
"1",1711-01-28,16.4,1,"Jan",1711,"Winter"
"2",1711-02-28,73.1,2,"Feb",1711,"Winter"
"3",1711-03-28,121.2,3,"Mar",1711,"Spring"
"4",1711-04-28,85.2,4,"Apr",1711,"Spring"
"5",1711-05-28,66.6,5,"May",1711,"Spring"
"6",1711-06-28,66.6,6,"Jun",1711,"Summer"
"7",1711-07-28,46.9,7,"Jul",1711,"Summer"
"8",1711-08-28,91.7,8,"Aug",1711,"Summer"
"9",1711-09-28,74.2,9,"Sep",1711,"Autumn"
"10",1711-10-28,128.8,10,"Oct",1711,"Autumn"
"11",1711-11-28,207.4,11,"Nov",1711,"Autumn"
"12",1711-12-28,113.5,12,"Dec",1711,"Winter"
"13",1712-01-28,42.6,1,"Jan",1712,"Winter"
"14",1712-02-28,31.3,2,"Feb",1712,"Winter"
"15",1712-03-28,83.9,3,"Mar",1712,"Spring"
"16",1712-04-28,102.7,4,"Apr",1712,"Spring"
"17",1712-05-28,60.1,5,"May",1712,"Spring"
"18",1712-06-28,102.7,6,"Jun",1712,"Summer"
"19",1712-07-28,200.4,7,"Jul",1712,"Summer"
"20",1712-08-28,106.5,8,"Aug",1712,"Summer"
"21",1712-09-28,111.5,9,"Sep",1712,"Autumn"
"22",1712-10-28,180.4,10,"Oct",1712,"Autumn"
"23",1712-11-28,175.4,11,"Nov",1712,"Autumn"
"24",1712-12-28,55.1,12,"Dec",1712,"Winter"
"25",1713-01-28,97.3,1,"Jan",1713,"Winter"
"26",1713-02-28,107.1,2,"Feb",1713,"Winter"
"27",1713-03-28,60.9,3,"Mar",1713,"Spring"
"28",1713-04-28,30.5,4,"Apr",1713,"Spring"
"29",1713-05-28,70.7,5,"May",1713,"Spring"
"30",1713-06-28,76.6,6,"Jun",1713,"Summer"
"31",1713-07-28,160.1,7,"Jul",1713,"Summer"
"32",1713-08-28,127.7,8,"Aug",1713,"Summer"
"33",1713-09-28,39.3,9,"Sep",1713,"Autumn"
"34",1713-10-28,41.3,10,"Oct",1713,"Autumn"
"35",1713-11-28,90.4,11,"Nov",1713,"Autumn"
"36",1713-12-28,80.6,12,"Dec",1713,"Winter"
"37",1714-01-28,42.4,1,"Jan",1714,"Winter"
"38",1714-02-28,80.5,2,"Feb",1714,"Winter"
"39",1714-03-28,53.9,3,"Mar",1714,"Spring"
"40",1714-04-28,56.6,4,"Apr",1714,"Spring"
"41",1714-05-28,41.6,5,"May",1714,"Spring"
"42",1714-06-28,26.5,6,"Jun",1714,"Summer"
"43",1714-07-28,150.3,7,"Jul",1714,"Summer"
"44",1714-08-28,79.6,8,"Aug",1714,"Summer"
"45",1714-09-28,66.3,9,"Sep",1714,"Autumn"
"46",1714-10-28,114.1,10,"Oct",1714,"Autumn"
"47",1714-11-28,82.2,11,"Nov",1714,"Autumn"
"48",1714-12-28,90.2,12,"Dec",1714,"Winter"
"49",1715-01-28,125.8,1,"Jan",1715,"Winter"
"50",1715-02-28,69.2,2,"Feb",1715,"Winter"
"51",1715-03-28,76.7,3,"Mar",1715,"Spring"
"52",1715-04-28,135.9,4,"Apr",1715,"Spring"
"53",1715-05-28,166.1,5,"May",1715,"Spring"
"54",1715-06-28,106.9,6,"Jun",1715,"Summer"
"55",1715-07-28,123.3,7,"Jul",1715,"Summer"
"56",1715-08-28,108.2,8,"Aug",1715,"Summer"
"57",1715-09-28,128.3,9,"Sep",1715,"Autumn"
"58",1715-10-28,104.4,10,"Oct",1715,"Autumn"
"59",1715-11-28,65.4,11,"Nov",1715,"Autumn"
"60",1715-12-28,47.8,12,"Dec",1715,"Winter"
"61",1716-01-28,17.8,1,"Jan",1716,"Winter"
"62",1716-02-28,55.5,2,"Feb",1716,"Winter"
"63",1716-03-28,37.7,3,"Mar",1716,"Spring"
"64",1716-04-28,73.2,4,"Apr",1716,"Spring"
"65",1716-05-28,128.7,5,"May",1716,"Spring"
"66",1716-06-28,53.4,6,"Jun",1716,"Summer"
"67",1716-07-28,75.3,7,"Jul",1716,"Summer"
"68",1716-08-28,67,8,"Aug",1716,"Summer"
"69",1716-09-28,193.6,9,"Sep",1716,"Autumn"
"70",1716-10-28,144.4,10,"Oct",1716,"Autumn"
"71",1716-11-28,122.4,11,"Nov",1716,"Autumn"
"72",1716-12-28,77.4,12,"Dec",1716,"Winter"
"73",1717-01-28,99,1,"Jan",1717,"Winter"
"74",1717-02-28,73.3,2,"Feb",1717,"Winter"
"75",1717-03-28,74.3,3,"Mar",1717,"Spring"
"76",1717-04-28,94.1,4,"Apr",1717,"Spring"
"77",1717-05-28,79.2,5,"May",1717,"Spring"
"78",1717-06-28,74.3,6,"Jun",1717,"Summer"
"79",1717-07-28,65.3,7,"Jul",1717,"Summer"
"80",1717-08-28,93.1,8,"Aug",1717,"Summer"
"81",1717-09-28,96,9,"Sep",1717,"Autumn"
"82",1717-10-28,65.3,10,"Oct",1717,"Autumn"
"83",1717-11-28,125.7,11,"Nov",1717,"Autumn"
"84",1717-12-28,90.1,12,"Dec",1717,"Winter"
"85",1718-01-28,62.5,1,"Jan",1718,"Winter"
"86",1718-02-28,75.7,2,"Feb",1718,"Winter"
"87",1718-03-28,71,3,"Mar",1718,"Spring"
"88",1718-04-28,89,4,"Apr",1718,"Spring"
"89",1718-05-28,68.2,5,"May",1718,"Spring"
"90",1718-06-28,27.5,6,"Jun",1718,"Summer"
"91",1718-07-28,60.6,7,"Jul",1718,"Summer"
"92",1718-08-28,126.9,8,"Aug",1718,"Summer"
"93",1718-09-28,34.1,9,"Sep",1718,"Autumn"
"94",1718-10-28,95.6,10,"Oct",1718,"Autumn"
"95",1718-11-28,80.5,11,"Nov",1718,"Autumn"
"96",1718-12-28,164.8,12,"Dec",1718,"Winter"
"97",1719-01-28,71.9,1,"Jan",1719,"Winter"
"98",1719-02-28,118.9,2,"Feb",1719,"Winter"
"99",1719-03-28,54.6,3,"Mar",1719,"Spring"
"100",1719-04-28,70.9,4,"Apr",1719,"Spring"
"101",1719-05-28,67.1,5,"May",1719,"Spring"
"102",1719-06-28,45.1,6,"Jun",1719,"Summer"
"103",1719-07-28,68.1,7,"Jul",1719,"Summer"
"104",1719-08-28,70,8,"Aug",1719,"Summer"
"105",1719-09-28,56.6,9,"Sep",1719,"Autumn"
"106",1719-10-28,95.9,10,"Oct",1719,"Autumn"
"107",1719-11-28,139,11,"Nov",1719,"Autumn"
"108",1719-12-28,100.7,12,"Dec",1719,"Winter"
"109",1720-01-28,144,1,"Jan",1720,"Winter"
"110",1720-02-28,85.4,2,"Feb",1720,"Winter"
"111",1720-03-28,103.7,3,"Mar",1720,"Spring"
"112",1720-04-28,63.5,4,"Apr",1720,"Spring"
"113",1720-05-28,87.9,5,"May",1720,"Spring"
"114",1720-06-28,72,6,"Jun",1720,"Summer"
"115",1720-07-28,101.3,7,"Jul",1720,"Summer"
"116",1720-08-28,118.4,8,"Aug",1720,"Summer"
"117",1720-09-28,91.5,9,"Sep",1720,"Autumn"
"118",1720-10-28,119.6,10,"Oct",1720,"Autumn"
"119",1720-11-28,109.8,11,"Nov",1720,"Autumn"
"120",1720-12-28,123.3,12,"Dec",1720,"Winter"
"121",1721-01-28,97.8,1,"Jan",1721,"Winter"
"122",1721-02-28,59.1,2,"Feb",1721,"Winter"
"123",1721-03-28,72.8,3,"Mar",1721,"Spring"
"124",1721-04-28,131.9,4,"Apr",1721,"Spring"
"125",1721-05-28,72.8,5,"May",1721,"Spring"
"126",1721-06-28,106.9,6,"Jun",1721,"Summer"
"127",1721-07-28,102.3,7,"Jul",1721,"Summer"
"128",1721-08-28,125.1,8,"Aug",1721,"Summer"
"129",1721-09-28,60.3,9,"Sep",1721,"Autumn"
"130",1721-10-28,97.8,10,"Oct",1721,"Autumn"
"131",1721-11-28,158.1,11,"Nov",1721,"Autumn"
"132",1721-12-28,52.3,12,"Dec",1721,"Winter"
"133",1722-01-28,71.4,1,"Jan",1722,"Winter"
"134",1722-02-28,45.4,2,"Feb",1722,"Winter"
"135",1722-03-28,100.9,3,"Mar",1722,"Spring"
"136",1722-04-28,47.6,4,"Apr",1722,"Spring"
"137",1722-05-28,181.4,5,"May",1722,"Spring"
"138",1722-06-28,87.3,6,"Jun",1722,"Summer"
"139",1722-07-28,145.1,7,"Jul",1722,"Summer"
"140",1722-08-28,79.4,8,"Aug",1722,"Summer"
"141",1722-09-28,46.5,9,"Sep",1722,"Autumn"
"142",1722-10-28,65.8,10,"Oct",1722,"Autumn"
"143",1722-11-28,114.5,11,"Nov",1722,"Autumn"
"144",1722-12-28,148.5,12,"Dec",1722,"Winter"
"145",1723-01-28,91.5,1,"Jan",1723,"Winter"
"146",1723-02-28,137.3,2,"Feb",1723,"Winter"
"147",1723-03-28,70,3,"Mar",1723,"Spring"
"148",1723-04-28,67.4,4,"Apr",1723,"Spring"
"149",1723-05-28,18.1,5,"May",1723,"Spring"
"150",1723-06-28,36.3,6,"Jun",1723,"Summer"
"151",1723-07-28,89.8,7,"Jul",1723,"Summer"
"152",1723-08-28,47.5,8,"Aug",1723,"Summer"
"153",1723-09-28,43.2,9,"Sep",1723,"Autumn"
"154",1723-10-28,63.9,10,"Oct",1723,"Autumn"
